TEXT	LABEL
"FINANCIAL STATEMENTS ADDITIONAL INFORMATION Capital expenditures Capital expenditures in 2020 totalled US$19.7 million, focused on sustaining capex, including the final construction of leaching pads and the implementation of the activated carbon process."	Negative
"The investment is underpinned by our long-term gas demand projection, and that's really the business case."	Negative
"As a company that is reliant on natural resources for the vast majority of its raw materials, for J-Oil Mills these environmental issues are vitally important and have a considerable impact on our business."	Negative
• Fugitive emissions of methane (CH4) (storage and transport of natural gas).	Negative
But I think it's something that we can work through very much in the first quarter.	Negative
"By the end of 2018, it will go up by 50% to 120 million tons of coal."	Negative
The FY2019 Sustainability Report details APA’s approach to climate change governance;	Negative
"For these reasons, we consider climate change countermeasures to be a major component of sustainability management."	Negative
"? Scope 1 represents direct greenhouse gas emissions, including those associated with the consumption of natural gas and domestic fuel and injections of refrigerant fluids during site maintenance operations on airconditioning installations."	Negative
"The total gas sale is divided into natural gas, LNG, and biogas which have specific upstream and downstream emission factors."	Negative
Construction is in progress and commercial operation is expected to occur by mid-2019.	Negative
"So our variable costs are starting to come down as well, which is another positive sign for us."	Negative
USA We have offtake rights via a lease to 100% of the capacity (2.5 mtpa) of the Kinder Morgan-operated Elba Island liquefaction plant in Georgia which consists of 10 MMLS units.	Negative
"So we believe that our headcount reduction, certainly in the manufacturing footprint, are largely behind us."	Negative
"Volvo Construction Equipment operates one of its most energy intensive sites in Eskilstuna, Swe- den."	Negative
"All acquisitions are assessed according to stringent financial criteria, with the most important being that ROACE should move into the Group target range of 12–15 per cent in the medium-term."	Negative
"And yes, it'd be really great if the whole industry would just go electric as soon as possible."	Negative
The Group recognises a liability in respect of its unsettled obligations to deliver emissions allowances under the EU Emission Trading Scheme (ETS).	Negative
"Profit Organisations sub-portfolio, driven for both BayernLB and DKB by the higher cash holdings at the Deutsche Bundesbank."	Negative
"18 Consolidated Scope 1, Scope 2 and selected Scope 3 GHG emissions (accounting for renewable electricity purchased in the UK) are for the environmental reporting year of 1 July – 30 June."	Negative
"The pipeline takes gas from Azerbaijan through Georgia to the Turkish border and has a capacity of 143mboe/d, with average throughput in 2017 of 125mboe/d."	Negative
"We critically assessed both our industrial emission and agricultural emis- sion inventories, with the support of Plantar Carbon consulting firm."	Negative
"We see, in 2014, being able to enable a push towards close to 70% of our homes for a 12-meg capability."	Negative
"Managing our social impacts is critical for keeping our projects on track and on budget, and meeting our commitment to creating benefits for local communities. •"	Negative
The business requires significant capital investment and a maintenance programme for water and used water networks and treatment facilities in order to comply with regulatory and environmental performance standards.	Negative
It is far from user friendly and it's definitely something you will not be able to manage yourself as an end user.	Negative
"We continue to think that over the long term, there will be opportunities to deploy that capital."	Negative
"The team collaborates with BHP’s Functions and Asset teams, external partners and industry to develop practical climate change solutions, designed to preserve and unlock long-term value for BHP."	Negative
"Obviously, it's without a doubt, the environment continues to improve, and that's all good."	Negative
"But we intend, as Dennis indicated, to stay right -- get right back on the double-digit track, and that's what we are absolutely committed to."	Negative
"Keep in mind, again, in Q2, there will continue to remain pressure on our gross margin as a result of having the incremental flagship cost that we didn't have last year in that quarter similar to Q1."	Negative
"Extending our fiber footprint in all regions, connecting more on-net buildings, I think that -- those investments will continue pace again in 2017."	Negative
"We're ramping traffic slowly to make sure that we fully understand the environment, and make sure that everything is set up properly."	Negative
"The Chairman of the Remuneration Committee discussed the draft Policy with the European Works Council, while the Chairman of the Supervisory Board discussed it with the Central Works Council in the Netherlands."	Negative
"If you look at our construction expenditures, what the biggest items, the next big item will be the aero derivates gas turbine in 2013."	Negative
"But no matter what we do, we have to have a path forward that allows us to build great service lines that meet Detroit residents' needs, and we do expect to grow in that community."	Negative
"Motorcycling was another source of inspiration for Pull&Bear, which sponsors the Grand Prix in Germany and the Aspar Team."	Negative
Biomass power generation is the Power Plant is the first biomass power plant where ENEOS process of burning or gasifying biomass to generate is the main operator.	Negative
"But at the same time, we are also working very hard to globalize our core brand portfolio."	Negative
Now it's been coming down as we're finishing Tehachapi and a few other renewable projects we've got in the pipeline.	Negative
"For carbon business, where we would have opportunities, are carbon melt shop."	Negative
"ATP has been part of Climate Action 100+ since the initiative started, and since then it has grown to 373 investors from all over the world and manages a total of USD 35 billion."	Negative
The majority of the CapEx spend in the first half has primarily been in the area of adding new servers to add capacity into our existing PoPs.	Negative
So fuel savings on the fleet will be de minimis in the impact in earnings for us.	Negative
"Today it pull back, but with -- if crude moves up a little bit or with perhaps a different focus on the U.S. energy plan, that should bode well for our Aero business, in particular."	Negative
"Renewable energy is purely domestic sourced and environment-friendly, and can be used continuously without being depleted."	Negative
"This provided management with a basis for setting new energy-use tar- gets and defining operational and stra- tegic energy objectives”, explains Nicole von der Weiden, who is responsible for energy management at Brezelkönig/ Ditsch."	Negative
Origin’s large and flexible gas supply portfolio will continue to meet the needs of major industrial and residential customers as well as support energy security through gas-fired generation.	Negative
"From a retail standpoint, we anticipated to continue to be strong in the second half."	Negative
"I mean, the last piece of real estate at 1.5-acre that got sold a couple of months back, 1.5-acre for $20 million for a hotel to be built on it."	Negative
"The start of production of the fourth well in July 2014 saw the wells achieve their maximum production capacity of 120 thousand bbl/d of the first FPSO (floating production storage and offloading), “Cidade de São Paulo”."	Negative
"Our conversations with our customers, Rich, indicates to us that with higher gas prices on the horizon, we're going to see a lot more coal burn in 2013."	Negative
"In RY2017, the Kubota Group reduced the amount of VOCs it handles through efforts such as improving the coating method to improve the coating efficiency of paint, promoting replacement with VOC-free materials, and collecting and recycling used thinner."	Negative
"For any business unit showing before-tax ROIC under 8%, strategies to improve that status to the targeted 8% and a timeframe for reaching that level will be clearly laid out, and intermediate goals will be set out periodi- cally."	Negative
"The Royal Decree 413/2014 regulates the energy production through renewable energy sources, waste or cogeneration and different Ministerial Orders regulate the prices applicable to these facilities."	Negative
"With the SVP2030 plan, we have further reinforced this commitment by formulated long- term goals up to FY2031/3 to show our strong will to contribute to “resolving social issues on a global scale through business activities”."	Negative
"Once complete, AGL’s VPP is expected to include 1,000 smart, connected batteries installed behind-the-meter, with a combined nameplate output of 5 MW and an energy storage capacity of more than 9.8 MWh."	Negative
"So year-over-year, again, we're going to shrink that deficit by probably at least $60 million, $70 million."	Negative
"So there are some difficulties that come with provisioning with or above loan growth, and there are some hard to call them challenges when it's all fun and good."	Negative
"So the 491 is a valuable, valuable drug candidate and asset for us that you'll be hearing more and more from us about."	Negative
"The budget supports that in terms of, matter of fact, we're seeing growth in the highway market, the transit market as well as money being put into some of these development projects."	Negative
"And I was talking to my team here in between and I neglected to mention about the payroll taxes that shows up in the first quarter, where that's $1.5 million or so higher than the normal other quarters."	Negative
? Implemented widespread cost reduction initiatives across all businesses resulting in significant cost savings.	Negative
"We're going to beat our synergy target modestly, that's what we've said."	Negative
"It mean our , didn't mean our underwriting standards and to the credit of those advantages we walk away from businesses."	Negative
The success or failure of these activi- ties is expected to have an influence on performance.	Negative
"Our recent report, Building the Net Zero Energy Workforce, looks at the skills and expertise the energy sector will need to help the UK reach its emissions target."	Negative
The recycled fibre is bleached in a Process Chlorine Free (PCF) process and the virgin fibre is Elemental Chlorine Free (ECF) bleached.	Negative
We continue to remain committed to achieving our target operating margin range or beyond.	Negative
"And then with energy efficiency, on the consumer side of things, we're seeing more people comfortable with maybe lower surplus reserves and being able to delay some of their CapEx decisions."	Negative
"It's starting construction here, in the spring of '15, to be completed in the fall of '15, and then we'll start moving in towards the end of this year."	Negative
Virtual power plants represent a major opportunity for EnBW to transfer its knowledge on the safe operation of complex systems to new digital business models.	Negative
"Lightweight  luminium is extremely A ductile and weighs a third of steel or copper, making it idea for bodywork of modern vehicles which require lightweight components for energy efficiency."	Negative
"The plan covers employees of Legrand SA and also those of Legrand France, Legrand SNC, Alpes Technologies, Cofrel, Ura, Planet-Wattohm, Intervox Systèmes, Legrand Cable Management, Legrand Énergie Solutions and Legrand Data Center Solutions."	Negative
So the go-forward look is that those continued programs plus new ones that we're implementing like top-of-rail treatments are going to continue to drive improved sea rate.	Negative
"In mid-April, OPEC+, which includes Russia, agreed to a new cut in production, but the fall in global demand, and the Saudi supply reaching its maximum level during those weeks, resulted in a great accumulation of inventory."	Negative
"Overview ESG Framework and Oversight Across Scope 1, 2 and 3, emissions per square metre fell 14.1 per cent to 100.51 kg CO2e/m2."	Negative
That sustainability piece has to be finished before they all walk in.	Negative
"The -- at this point, we'll probably looking at product which would be getting close to end of Phase II, preferably then maybe getting into the Phase III program."	Negative
And we'll have more wells coming online with the CO2 but at a declining pace as we go through the reservoir.	Negative
We expect these projects to add more than 250 thousand barrels of oil equivalent per day to our production and 3.9 million tonnes of LNG a year to our liquefaction capacity once fully ramped up.	Negative
"However, as shown in figure 14, this is not the case, and our carbon intensity has remained relatively constant."	Negative
"Combined with the reality of corporate carbon emissions and climate risks and opportunities, the company carries out detailed management of energy use, controls the power consumption of high-energy consuming equipment such as air conditioning, makes daily inspections to turn off unnecessary power supplies, and invests more resources to support the use of renewable energy.In 2020, the company purchased the green power produced by the Datan Wind Farm (48MW) project in Qinhuangdao City and Guanhu Wind Farm (49.8 MW) Phase II project in Chaohu City to offset carbon emissions while supporting domestic renewable energy production."	Positive
"As a science-based company, 3M uses the World Resources Institute (WRI)/World Business Council for Sustainable Development (WBCSD) GHG Protocol Corporate Accounting and Reporting Standard to set GHG emission reduction targets. For this reason, we acted on the findings of the Intergovernmental Panel on Climate Change (IPCC) Special Report on Global Warming of 1.5°C to set our goals and actions.  We've remained committed to the Intergovernmental Panel on Climate Change (IPCC) since 2005. Even though we have seen global emissions decrease temporarily as a result of the unprecedented global COVID-19 pandemic, climate change remains an existential threat. Its impacts are widespread, and its risks are not limited by continent, industry, or even species. Our Strategic Sustainability Framework directs our efforts to areas where we can make the biggest impact. Within the Science for Climate pillar of this framework, we will continue to focus on innovating to decarbonize industry, accelerating global climate solutions, and improving our environmental footprint. We'll continue to drive climate solutions in our operations, in our products, and in communities around the world. We will use the IPCC AR6 Climate Change 2021: The Physical Science Basis Report to inform our climate strategy. In 2015, 3M set a goal to ensure GHG emissions are at least 50% below our 2002 baseline by 2025. 3M's new commitment (announced in 2021) is to reduce Scope 1 and 2 market-based GHG emissions from our 2019 baseline by at least 50% by 2030, 80% by 2040, and be 100% carbon neutral in our operations by 2050. This is a stepped goal. The table above indicates the target for the first step."	Positive
"Progress against target has been achieved through a combination of internal initiatives and through the improved CO2 conversion factors as the network becomes more efficient. The reduction does not take into account the move to 100% electricity from renewable sources which was enacted in May 2020. We are in the process of developing science-based targets for our scope 1, 2 and 3 emissions that we aim to submit to the SBTi for approval in the automn of 2021."	Positive
"The target covers our whole operated container vessel fleet of about 700 ships. To date we have made significant improvements of 41.8% on relative emissions against our 2008 baseline, however as our fleet has grown since 2008, our absolute emissions have also grown. Therefore we witness, that growth while coupled with our efficiency savings cannot deliver on reducing absolute emissions.  To decarbonise the maritime sector, massive innovation needs to occur over the next 5-10 years.  It is because of this that we have announced our zero net carbon emissions target by 2050, so as to initiate decarbonisation evolution with the maritime sector."	Positive
"In 2015, we set ourselves the target of saving 100 percent of the CO2 emissions resulting from the consumption of conventional electricity by 2020. For this reason, in addition to our main locations in Wiesbaden and Mainz, we source environmentally friendly green electricity from hydropower at almost all german locations. The reference amount of 3,249 t CO2e is based on the scope of the Group-wide environmental indicators used in 2013 and includes all electricity consumptions in Germany. In order to ensure comparability of the values, the emission values last calculated for 2019 according to the identical location structure for 2015 were calculated. The survey therefore doesn't cover any international locations. These will be considered in a target which is currently under development.Due to active M&A  and increasing number of new small offices (and existing contracts with energy providers), we have decided to extend 2020 target to 2022. By the end of the reporting year, more than 98% green electricity had already been purchased at german sites, which is very close to the target of 100%. We envisage to extend green electricity purchasing to our international sites."	Positive
"In 2020, ABB divested its Power Grids business (PG) to Hitachi. In order to measure our progress properly, we have re-baselined our 2020 target by removing the contribution from our divested Power Grids business to the 2013 baseline (the baseline was reduced from 1,551 kilotons to 1,167 kilotons). We have also excluded the emissions of the 39 newly acquired sites (GEIS) added in 2019, for which no 2013 baseline data exists. This shows we have achieved a 58 percent reduction of our Scope 1+2 emissions from 2013.In 2018 we acquired the business ""GEIS"" and integrated these sites into our sustainability reporting in 2019. Since we don't have any 2013 baseline data for these 39 sites, we do not count it towards our progress towards our 2020 targets. ABB's total scope 1+2 emissions in 2020 amounted to 561 kilotons, without GEIS they were 487 kiloton.If we would have swallowed this acquisition and included the GEIS emissions while not being able to adjust the 2013 baseline upwards, we would still have over-achieved our 2020 target and reached 129% of the target. This scope 1 and 2 target was ambitious enough to be a science-based target, but we did not send it to the SBT Initiative for approval. Instead, this year we submitted ambitious targets for 2030 that were approved by the SBTi in May 2021."	Positive
"ABB launched this climate change target as part of its Sustainability Strategy 2030 in November 2020. The target has since been submitted and approved as a Science Based Target to the 1.5 degree C trajectory. ABB also committed to be carbon neutral in Scope 1+2 by 2020. After reducing as much as we can of our Scope 1+2 emissions through energy efficiency measures and other efforts in own operations (>80 percent), we will compensate for the remaining emissions through credible offsets when we approach 2030. This year, we have joined the Business Ambition for 1.5°C initiative and thus committed to achieve net-zero emissions across our value chain no later than 2050."	Positive
"ABB's science-based targets have been deemed to be in conformance with the SBTi Criteria and Recommendations (version 4.1). The SBTi's Target Validation Team has classified ABB's scope 1 and 2 target ambition and has determined that it is in line with a 1.5°C trajectory. This year, we have joined the Business Ambition for 1.5°C initiative and thus committed to achieve net-zero emissions across our value chain no later than 2050."	Positive
"TARGET: Reduce absolute Scope 1 and 2 CO2e emissions by 30% on an absolute basis compared with our 2018 baseline, which aligns with the objectives of the Science Based Targets initiative (SBTi) of well below the two-degree Celsius warming scenario.Our Sustainability Plan establishes new 2030 goals for protecting a healthy environment, which will further build on our progress in these priority areas.  Abbott has set absolute-reduction targets, that are science-aligned, for its 2030 goal. Procuring more renewable energy, emission credits and low-emission energy through US and European Virtual Power Purchase Agreements (VPPA) is a key strategy in reducing our CO2 emissions helping us meet our 2030 target.  To support our efforts to continually reduce CO2 emissions, beginning in 2016 we significantly expanded our use of renewable energy in our electricity contracts. To account for the lower emissions resulting from these contracts, we use the GHGP Scope 2 market-based methodology to report our progress on our 2030 carbon goal."	Positive
"In 2016 AbbVie decided to take a leadership approach to climate change by setting new aggressive targets to reduce emissions.  Our GHG reduction target is to reduce emissions 25% absolute, by 2025 with a 2015 baseline.  All GHG targets are combined scope 1 and 2 market based.  All quantities reported in this section are in Metric Tons of CO2e.  It should be noted that the CO2e emissions associated with the acquisition of Stemcentrx and Pharmacyclics as well as a new R&D center in Cambridge, MA are not included in the target calculation because they were not included in the 2015 baseline.  The CO2 emissions from these three businesses account for less than 1% of the total AbbVie CO2e emissions. In early 2020 AbbVie initiated the process of setting a science-based carbon target.  We submitted a letter of commitment to SBTi in June of 2021, and we anticipate setting a science-based target in 2022."	Positive
"In 2016 AbbVie decided to take a leadership approach to climate change by setting new aggressive targets to reduce emissions.  Our GHG reduction target is to reduce emissions 50% absolute, by 2035 with a 2015 baseline.  All GHG targets are combined scope 1 and 2 market based.  All quantities reported in this section are in Metric Tons of CO2e.  It should be noted that the CO2e emissions associated with the acquisition of Stemcentrx and Pharmacyclics as well as a new R&D center in Cambridge, MA are not included in the target calculation because they were not included in the 2015 baseline.  The CO2 emissions from these three businesses account for less than 1% of the total AbbVie CO2e emissions. In early 2020 AbbVie initiated the process of setting a science-based carbon target.  We submitted a letter of commitment to SBTi in June of 2021, and we anticipate setting a science-based target in 2022."	Positive
